source_path,final_path,status,date_folder,location,location_source,matched_existing
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0905.MP4,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0905.MP4",moved,2023-08-14,"Clearwater, Florida, US",same-day,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0906.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0906.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0909.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0909.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0910.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0910.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0911.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0911.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0912.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0912.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0913.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0913.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0914.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0914.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0915.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0915.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0916.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0916.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0917.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0917.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0918.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0918.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0919.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0919.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0920.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0920.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0921.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0921.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0922.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0922.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0923.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0923.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0924.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0924.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0926.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0926.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0927.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0927.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0928.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0928.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0929.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0929.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0930.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0930.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0931.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0931.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0932.JPG,"E:\Drone\Clearwater, Florida, US\2023-08-14\DJI_0932.JPG",moved,2023-08-14,"Clearwater, Florida, US",gps,
